3.69,-0.7386,1.3883
3.7,-0.7381,1.3805
3.71,-0.7374,1.3723
3.72,-0.7365,1.3639
3.73,-0.7355,1.3552
3.74,-0.7342,1.3463
3.75,-0.7327,1.337
3.76,-0.7311,1.3278
3.77,-0.7294,1.3182
3.78,-0.7275,1.3085
3.79,-0.7254,1.2985
3.8,-0.7232,1.2884
3.81,-0.7208,1.2782
3.82,-0.7183,1.2678
3.83,-0.7156,1.2573
3.84,-0.7129,1.2467
3.85,-0.71,1.2361
3.86,-0.707,1.2253
3.87,-0.704,1.2146
3.88,-0.7008,1.2038
3.89,-0.6976,1.193
3.9,-0.6943,1.1822
3.91,-0.691,1.1714
3.92,-0.6876,1.1607
3.93,-0.6842,1.1501
3.94,-0.6807,1.1396
3.95,-0.6773,1.1292
3.96,-0.6738,1.119
3.97,-0.6704,1.1088
3.98,-0.6669,1.0989
3.99,-0.6635,1.0892
4,-0.6602,1.0798
4.01,-0.6569,1.0707
4.02,-0.6537,1.0618
4.03,-0.6506,1.0533
4.04,-0.6476,1.0451
4.05,-0.6447,1.0373
4.06,-0.642,1.03
4.07,-0.6394,1.0231
4.08,-0.637,1.0167
4.09,-0.6347,1.0107
4.1,-0.6327,1.0054
4.11,-0.6308,1.0006
4.12,-0.6292,0.9964
4.13,-0.6278,0.9928
4.14,-0.6267,0.9899
4.15,-0.6258,0.9877
4.16,-0.6252,0.9861
4.17,-0.6249,0.9854
4.18,-0.6229,0.9867
4.19,-0.6188,0.9894
4.2,-0.6148,0.9917
4.21,-0.6107,0.9937
4.22,-0.6068,0.9954
4.23,-0.6028,0.9969
4.24,-0.599,0.9981
4.25,-0.5951,0.9992
4.26,-0.5914,1
4.27,-0.5877,1.0007
4.28,-0.5841,1.0012
4.29,-0.5805,1.0016
4.3,-0.577,1.0018
4.31,-0.5736,1.002
4.32,-0.5703,1.002
4.33,-0.567,1.002
4.34,-0.5639,1.0018
4.35,-0.5608,1.0016
4.36,-0.5577,1.0014
4.37,-0.5548,1.0011
4.38,-0.5519,1.0007
4.39,-0.5491,1.0003
4.4,-0.5464,0.9999
4.41,-0.5438,0.9995
4.42,-0.5412,0.999
4.43,-0.5387,0.9985
4.44,-0.5363,0.998
4.45,-0.5339,0.9975
4.46,-0.5316,0.9969
4.47,-0.5294,0.9964
4.48,-0.5272,0.9959
4.49,-0.5251,0.9953
4.5,-0.5231,0.9948
4.51,-0.5211,0.9942
4.52,-0.5192,0.9937
4.53,-0.5173,0.9932
4.54,-0.5155,0.9927
4.55,-0.5138,0.9922
4.56,-0.5121,0.9917
4.57,-0.5104,0.9912
4.58,-0.5088,0.9907
4.59,-0.5072,0.9902
4.6,-0.5057,0.9898
4.61,-0.5042,0.9894
4.62,-0.5028,0.9889
4.63,-0.5014,0.9886
4.64,-0.5001,0.9882
4.65,-0.4987,0.9878
4.66,-0.4975,0.9875
4.67,-0.4962,0.9871
4.68,-0.495,0.9868
4.69,-0.4938,0.9865
4.7,-0.4927,0.9862
4.71,-0.4915,0.986
4.72,-0.4904,0.9857
4.73,-0.4894,0.9855
4.74,-0.4883,0.9853
4.75,-0.4873,0.9851
4.76,-0.4863,0.9849
4.77,-0.4853,0.9848
4.78,-0.4843,0.9847
4.79,-0.4834,0.9846
4.8,-0.4824,0.9845
4.81,-0.4815,0.9844
4.82,-0.4806,0.9843
4.83,-0.4797,0.9843
4.84,-0.4788,0.9843
4.85,-0.478,0.9843
4.86,-0.4771,0.9843
4.87,-0.4762,0.9843
4.88,-0.4754,0.9844
4.89,-0.4745,0.9845
4.9,-0.4737,0.9846
4.91,-0.4729,0.9847
4.92,-0.472,0.9848
4.93,-0.4712,0.9849
4.94,-0.4703,0.9851
4.95,-0.4695,0.9853
4.96,-0.4686,0.9855
4.97,-0.4678,0.9857
4.98,-0.4669,0.986
4.99,-0.466,0.9862
5,-0.4651,0.9865
5.01,-0.4642,0.9868
5.02,-0.4633,0.9871
5.03,-0.4624,0.9875
5.04,-0.4615,0.9878
5.05,-0.4605,0.9882
5.06,-0.4595,0.9886
5.07,-0.4585,0.989
5.08,-0.4575,0.9894
5.09,-0.4564,0.9898
5.1,-0.4553,0.9902
5.11,-0.4542,0.9907
5.12,-0.4531,0.9912
5.13,-0.4519,0.9917
5.14,-0.4507,0.9922
5.15,-0.4494,0.9927
5.16,-0.4481,0.9932
5.17,-0.4467,0.9937
5.18,-0.4453,0.9942
5.19,-0.4439,0.9948
5.2,-0.4423,0.9953
5.21,-0.4408,0.9959
5.22,-0.4391,0.9964
5.23,-0.4374,0.9969
5.24,-0.4356,0.9975
5.25,-0.4338,0.998
5.26,-0.4319,0.9985
5.27,-0.4298,0.999
5.28,-0.4277,0.9995
5.29,-0.4255,0.9999
5.3,-0.4232,1.0004
5.31,-0.4208,1.0007
5.32,-0.4182,1.0011
5.33,-0.4156,1.0014
5.34,-0.4128,1.0016
5.35,-0.4099,1.0018
5.36,-0.4069,1.002
5.37,-0.4037,1.002
5.38,-0.4003,1.002
5.39,-0.3967,1.0018
5.4,-0.393,1.0016
5.41,-0.3891,1.0012
5.42,-0.385,1.0007
5.43,-0.3806,1
5.44,-0.376,0.9992
5.45,-0.3712,0.9981
5.46,-0.3661,0.9969
5.47,-0.3609,0.9955
5.48,-0.3552,0.9937
5.49,-0.3493,0.9917
5.5,-0.343,0.9894
5.51,-0.3364,0.9868
5.52,-0.3294,0.9838
5.53,-0.3297,0.9842
5.54,-0.3303,0.9853
5.55,-0.3314,0.9872
5.56,-0.3329,0.9897
5.57,-0.3347,0.993
5.58,-0.337,0.9969
5.59,-0.3396,1.0014
5.6,-0.3426,1.0065
5.61,-0.3459,1.0122
5.62,-0.3495,1.0184
5.63,-0.3535,1.0251
5.64,-0.3577,1.0322
5.65,-0.3622,1.0398
5.66,-0.367,1.0478
5.67,-0.372,1.0562
5.68,-0.3772,1.0649
5.69,-0.3826,1.0739
5.7,-0.3883,1.0832
5.71,-0.3942,1.0928
5.72,-0.4002,1.1026
5.73,-0.4064,1.1126
5.74,-0.4128,1.1228
5.75,-0.4193,1.1332
5.76,-0.4259,1.1437
5.77,-0.4327,1.1543
5.78,-0.4396,1.165
5.79,-0.4465,1.1757
5.8,-0.4536,1.1865
5.81,-0.4607,1.1973
5.82,-0.4679,1.2082
5.83,-0.4752,1.219
5.84,-0.4825,1.2297
5.85,-0.4899,1.2405
5.86,-0.4973,1.2511
5.87,-0.5047,1.2617
5.88,-0.5122,1.2721
5.89,-0.5196,1.2825
5.9,-0.5271,1.2927
5.91,-0.5345,1.3027
5.92,-0.542,1.3126
5.93,-0.5494,1.3223
5.94,-0.5568,1.3318
5.95,-0.5642,1.3411
5.96,-0.5715,1.3502
5.97,-0.5787,1.359
5.98,-0.5859,1.3676
5.99,-0.5931,1.3759
6,-0.6002,1.3839
6.01,-0.6071,1.3916
6.02,-0.614,1.399
6.03,-0.6208,1.406
6.04,-0.6275,1.4129
6.05,-0.634,1.4192
6.06,-0.6405,1.4254
6.07,-0.6468,1.4311
6.08,-0.653,1.4363
6.09,-0.659,1.4412
6.1,-0.6649,1.4458
6.11,-0.6706,1.4498
6.12,-0.6761,1.4534
6.13,-0.6815,1.4566
6.14,-0.6866,1.4593
6.15,-0.6915,1.4615
6.16,-0.6962,1.4632
6.17,-0.7007,1.4645
6.18,-0.7049,1.4651
6.19,-0.7089,1.4653
6.2,-0.7127,1.4649
6.21,-0.7161,1.464
6.22,-0.7193,1.4625
6.23,-0.7223,1.4606
6.24,-0.725,1.4581
6.25,-0.7274,1.4552
6.26,-0.7297,1.4519
6.27,-0.7316,1.4481
6.28,-0.7333,1.4438
6.29,-0.7348,1.4391
6.3,-0.7361,1.4341
6.31,-0.7371,1.4286
6.32,-0.7379,1.4228
